epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,339.63,0.82111,0.55256,1.01534,0.97634,0.75,0.85003,0.58251,1.26571,0.95797,1.31645,0.000581,0.000581,0.000581
45,347.008,0.81873,0.57062,0.99821,0.98381,0.75983,0.88376,0.6005,1.28747,0.96797,1.31193,0.000548,0.000548,0.000548
46,354.412,0.86549,0.60259,1.01714,0.92637,0.78639,0.87769,0.57867,1.36432,1.02626,1.3465,0.000515,0.000515,0.000515
47,362.342,0.83112,0.54476,1.01445,0.88661,0.8125,0.86084,0.57067,1.44204,1.09257,1.44864,0.000482,0.000482,0.000482
48,371.271,0.82581,0.55266,0.99748,0.89194,0.8375,0.88613,0.57875,1.38453,0.92666,1.41805,0.000449,0.000449,0.000449
49,381.258,0.81965,0.54058,0.99393,0.95938,0.8125,0.88562,0.59026,1.35244,1.09396,1.35975,0.000416,0.000416,0.000416
50,388.758,0.83133,0.555,0.99477,0.87785,0.825,0.8705,0.59034,1.31324,1.07108,1.30508,0.000383,0.000383,0.000383
51,418.853,0.78748,0.4799,0.97085,0.96521,0.7375,0.84403,0.54889,1.40069,0.98293,1.4062,0.00035,0.00035,0.00035
52,426.347,0.72263,0.45705,0.94498,0.88935,0.7875,0.83709,0.54686,1.36689,1.03572,1.38274,0.000317,0.000317,0.000317
53,433.556,0.71479,0.4359,0.93565,0.90679,0.775,0.85828,0.56819,1.312,0.99895,1.30812,0.000284,0.000284,0.000284
54,440.787,0.71771,0.43574,0.9387,0.93993,0.78241,0.8773,0.58699,1.33262,0.94611,1.32326,0.000251,0.000251,0.000251
55,447.964,0.70325,0.41173,0.93914,0.95226,0.7625,0.88056,0.5939,1.32687,1.0112,1.32085,0.000218,0.000218,0.000218
56,455.355,0.68679,0.40678,0.91212,0.93933,0.7875,0.87387,0.59104,1.33061,1.03501,1.33608,0.000185,0.000185,0.000185
57,462.564,0.68057,0.41159,0.91715,0.92257,0.7875,0.87041,0.57753,1.34005,1.01489,1.33616,0.000152,0.000152,0.000152
58,469.757,0.67627,0.4268,0.92556,0.91221,0.77938,0.87269,0.57461,1.34153,1.02517,1.34034,0.000119,0.000119,0.000119
59,477.027,0.6466,0.39176,0.90162,0.94009,0.78467,0.88058,0.59015,1.33014,1.01182,1.33488,8.6e-05,8.6e-05,8.6e-05
60,484.195,0.63662,0.38491,0.91414,0.94019,0.78601,0.87606,0.59374,1.33453,1.01409,1.34263,5.3e-05,5.3e-05,5.3e-05
